lat,long,location,count
42.24038127,-71.13734248,(42.24038127 -71.13734248),1
42.24042076,-71.12465619,(42.24042076 -71.12465619),2
42.24042362,-71.1374276,(42.24042362 -71.13742760),1
42.24049963,-71.14262002,(42.24049963 -71.14262002),4
42.24052845,-71.13550853,(42.24052845 -71.13550853),4
42.24060494,-71.14142437,(42.24060494 -71.14142437),3
42.24061642,-71.124281,(42.24061642 -71.12428100),1
42.24071718,-71.13935624,(42.24071718 -71.13935624),20
42.24076725,-71.13733733,(42.24076725 -71.13733733),1
42.24077373,-71.1343255,(42.24077373 -71.13432550),13
42.24077498,-71.13536804,(42.24077498 -71.13536804),35
42.24079993,-71.13633684,(42.24079993 -71.13633684),7
42.24091486,-71.12370073,(42.24091486 -71.12370073),2
42.2410215,-71.13522755,(42.24102150 -71.13522755),3
42.24102722,-71.14117655,(42.24102722 -71.14117655),2
42.24106881,-71.13716659,(42.24106881 -71.13716659),1
42.24111883,-71.14338278,(42.24111883 -71.14338278),7
42.24119133,-71.12260677,(42.24119133 -71.12260677),1
42.24124926,-71.12629908,(42.24124926 -71.12629908),120
42.24126254,-71.12611583,(42.24126254 -71.12611583),8
42.24130499,-71.13603859,(42.24130499 -71.13603859),13
42.24132043,-71.13701987,(42.24132043 -71.13701987),1
42.24133823,-71.13894909,(42.24133823 -71.13894909),22
42.24134226,-71.14213265,(42.24134226 -71.14213265),9
42.24144673,-71.13497363,(42.24144673 -71.13497363),16
42.24148305,-71.13327213,(42.24148305 -71.13327213),2
42.24159056,-71.14077174,(42.24159056 -71.14077174),1
42.24159827,-71.1252447,(42.24159827 -71.12524470),18
42.24160863,-71.124429,(42.24160863 -71.12442900),6
42.24171455,-71.13413382,(42.24171455 -71.13413382),10
42.24182699,-71.13855899,(42.24182699 -71.13855899),1
42.24186532,-71.13277504,(42.24186532 -71.13277504),16
42.24187195,-71.1347197,(42.24187195 -71.13471970),1
42.24188569,-71.14159661,(42.24188569 -71.14159661),4
42.24190227,-71.14312001,(42.24190227 -71.14312001),2
42.24190528,-71.13787861,(42.24190528 -71.13787861),3
42.24191141,-71.12381989,(42.24191141 -71.12381989),14
42.24200994,-71.13464458,(42.24200994 -71.13464458),1
42.24206491,-71.14042527,(42.24206491 -71.14042527),2
42.24207018,-71.13839204,(42.24207018 -71.13839204),2
42.24214414,-71.1431772,(42.24214414 -71.14317720),3
42.2422,-71.14275143,(42.24220000 -71.14275143),2
42.24220286,-71.13880676,(42.24220286 -71.13880676),4
42.24229095,-71.13705184,(42.24229095 -71.13705184),4
42.24230487,-71.13820009,(42.24230487 -71.13820009),1
42.24232146,-71.13255295,(42.24232146 -71.13255295),1
42.24234856,-71.13445145,(42.24234856 -71.13445145),2
42.24235156,-71.12079258,(42.24235156 -71.12079258),44
42.24240296,-71.14120448,(42.24240296 -71.14120448),8
42.24249483,-71.13565392,(42.24249483 -71.13565392),11
