,lat,long,location,count,postal_code
10202,42.3285094,-71.08043739,(42.32850940 -71.08043739),65,02119
10203,42.32851131,-71.07962259,(42.32851131 -71.07962259),61,02119
10204,42.32851135,-71.07997709,(42.32851135 -71.07997709),1,02119
10205,42.32851529,-71.07653709,(42.32851529 -71.07653709),34,02119
10206,42.32852096,-71.10865289,(42.32852096 -71.10865289),13,02120
10207,42.32852889,-71.10121965,(42.32852889 -71.10121965),27,02120
10208,42.32853529,-71.08213874,(42.32853529 -71.08213874),136,02119
10209,42.32853842,-71.07596301,(42.32853842 -71.07596301),18,02119
10210,42.32854253,-71.09209204,(42.32854253 -71.09209204),3,02119
10211,42.32854498,-71.07726702,(42.32854498 -71.07726702),31,02119
10212,42.32855624,-71.09905446,(42.32855624 -71.09905446),30,02120
10213,42.32855807,-71.07927600000001,(42.32855807 -71.07927600),39,02119
10214,42.32856401,-71.06835343,(42.32856401 -71.06835343),193,02119
10215,42.32856686,-71.07260272,(42.32856686 -71.07260272),6,02119
10216,42.32857129,-71.05692247,(42.32857129 -71.05692247),11,02127
10217,42.32857141,-71.05570785,(42.32857141 -71.05570785),5,02127
10218,42.32857331,-71.05600288,(42.32857331 -71.05600288),1,02127
10219,42.32857475,-71.05661020000001,(42.32857475 -71.05661020),14,02127
10220,42.32857574,-71.05629791,(42.32857574 -71.05629791),6,02127
10221,42.3285766,-71.05527652,(42.32857660 -71.05527652),3,02127
10222,42.32858028,-71.05498561,(42.32858028 -71.05498561),12,02127
10223,42.32858352,-71.09814235,(42.32858352 -71.09814235),2,02120
10224,42.32858395,-71.0546947,(42.32858395 -71.05469470),2,02127
10225,42.328596999999995,-71.08274741,(42.32859700 -71.08274741),92,02119
10226,42.32859767,-71.05363334,(42.32859767 -71.05363334),25,02127
10227,42.32861138,-71.05257198,(42.32861138 -71.05257198),13,02127
10228,42.32863035,-71.08376536,(42.32863035 -71.08376536),35,02119
10229,42.32863172,-71.08309899,(42.32863172 -71.08309899),59,02119
10230,42.32863816,-71.04707817,(42.32863816 -71.04707817),2,02125
10231,42.32865366,-71.10968278,(42.32865366 -71.10968278),9,02130
10232,42.32865532,-71.11077602,(42.32865532 -71.11077602),6,02130
10233,42.328658000000004,-71.083495,(42.32865800 -71.08349500),1,02119
10234,42.328659,-71.083999,(42.32865900 -71.08399900),9,02119
10235,42.32866284,-71.08563401,(42.32866284 -71.08563401),1159,02119
10236,42.32866524,-71.07037553,(42.32866524 -71.07037553),3,02119
10237,42.32866685,-71.09199778,(42.32866685 -71.09199778),1,02119
10238,42.32867,-71.084076,(42.32867000 -71.08407600),1,02119
10239,42.32868844,-71.07505044,(42.32868844 -71.07505044),14,02119
10240,42.3287101,-71.05825095,(42.32871010 -71.05825095),2,02127
10241,42.32872589,-71.08382217,(42.32872589 -71.08382217),244,02119
10242,42.32872796,-71.09108826,(42.32872796 -71.09108826),9,02119
10243,42.32873391,-71.09195367,(42.32873391 -71.09195367),1,02119
10244,42.32873966,-71.07624439,(42.32873966 -71.07624439),4,02119
10245,42.32874077,-71.08771559,(42.32874077 -71.08771559),61,02119
10246,42.32874275,-71.08923569,(42.32874275 -71.08923569),4,02119
10247,42.32874629,-71.07920425,(42.32874629 -71.07920425),1,02119
10248,42.32874988,-71.07776044,(42.32874988 -71.07776044),6,02119
10249,42.32875361,-71.08465811,(42.32875361 -71.08465811),5,02119
10250,42.32878596,-71.06945340000001,(42.32878596 -71.06945340),5,02119
10251,42.32879153,-71.11051473,(42.32879153 -71.11051473),3,02130
10252,42.32882991,-71.08144379,(42.32882991 -71.08144379),35,02119
10253,42.32883627,-71.08459849,(42.32883627 -71.08459849),69,02119
10254,42.32885043,-71.07064355,(42.32885043 -71.07064355),17,02119
10255,42.328876,-71.085139,(42.32887600 -71.08513900),25,02119
10256,42.32888996,-71.09474268,(42.32888996 -71.09474268),5,02119
10257,42.328897600000005,-71.09359501,(42.32889760 -71.09359501),16,02119
10258,42.32890025,-71.05470576,(42.32890025 -71.05470576),5,02127
10259,42.32890929,-71.05260009,(42.32890929 -71.05260009),30,02127
10260,42.32891025,-71.05524687,(42.32891025 -71.05524687),8,02127
10261,42.32891063,-71.08949343,(42.32891063 -71.08949343),7,02119
10262,42.32893451,-71.0791325,(42.32893451 -71.07913250),18,02119
10263,42.328937100000005,-71.05571742,(42.32893710 -71.05571742),32,02127
10264,42.32894756,-71.08261583,(42.32894756 -71.08261583),1,02119
10265,42.32894903,-71.05739663,(42.32894903 -71.05739663),25,02127
10266,42.32896475,-71.07250818,(42.32896475 -71.07250818),2,02119
10267,42.32896936,-71.09180191,(42.32896936 -71.09180191),3,02119
10268,42.3289779,-71.07592971,(42.32897790 -71.07592971),12,02119
10269,42.32898193,-71.07956761,(42.32898193 -71.07956761),45,02119
10270,42.32898932,-71.05630174,(42.32898932 -71.05630174),10,02127
10271,42.3289987,-71.07757932,(42.32899870 -71.07757932),2,02119
10272,42.329003799999995,-71.07838214,(42.32900380 -71.07838214),113,02119
10273,42.32901664,-71.08605153,(42.32901664 -71.08605153),7,02119
10274,42.32901735,-71.07088245,(42.32901735 -71.07088245),2,02119
10275,42.32902469,-71.08341505,(42.32902469 -71.08341505),191,02119
10276,42.32902859,-71.1009306,(42.32902859 -71.10093060),48,02120
10277,42.32902926,-71.08000275,(42.32902926 -71.08000275),4,02119
10278,42.329033700000004,-71.05347159,(42.32903370 -71.05347159),1,02109
10279,42.32903752,-71.05424682,(42.32903752 -71.05424682),6,02127
10280,42.3290376,-71.05694505,(42.32903760 -71.05694505),36,02127
10281,42.32903974,-71.09211648,(42.32903974 -71.09211648),8,02119
10282,42.32905325,-71.08891048,(42.32905325 -71.08891048),4,02119
10283,42.32906152,-71.05375629,(42.32906152 -71.05375629),1,02127
10284,42.32906555,-71.08638294,(42.32906555 -71.08638294),3,02119
10285,42.32907463,-71.08042043,(42.32907463 -71.08042043),25,02119
10286,42.32908071,-71.07501301,(42.32908071 -71.07501301),27,02119
10287,42.32909192,-71.07533503,(42.32909192 -71.07533503),3,02119
10288,42.32909734,-71.09065839,(42.32909734 -71.09065839),1,02119
10289,42.32909775,-71.07906694,(42.32909775 -71.07906694),27,02119
10290,42.32910458,-71.09292261,(42.32910458 -71.09292261),46,02119
10291,42.32911928,-71.09782102,(42.32911928 -71.09782102),11,02120
10292,42.32911981,-71.07675692,(42.32911981 -71.07675692),29,02119
10293,42.32911999,-71.08083811,(42.32911999 -71.08083811),4,02119
10294,42.32914356,-71.09442790000001,(42.32914356 -71.09442790),1,02119
10295,42.3291465,-71.0810989,(42.32914650 -71.08109890),14,02119
10296,42.329158500000005,-71.0659665,(42.32915850 -71.06596650),16,02118
10297,42.32916222,-71.0989386,(42.32916222 -71.09893860),2,02120
10298,42.32917276,-71.08135973,(42.32917276 -71.08135973),27,02119
10299,42.32917928,-71.07350852,(42.32917928 -71.07350852),3,02119
10300,42.32918426,-71.07112135,(42.32918426 -71.07112135),3,02119
10301,42.32918864,-71.06990786,(42.32918864 -71.06990786),11,02119
10302,42.32919289,-71.08730233,(42.32919289 -71.08730233),57,02119
10303,42.32921115,-71.10216039,(42.32921115 -71.10216039),5,02120
10304,42.32921664,-71.094752,(42.32921664 -71.09475200),5,02119
10305,42.32922079,-71.05448323,(42.32922079 -71.05448323),3,02127
10306,42.32922503,-71.05424964,(42.32922503 -71.05424964),13,02127
10307,42.32922866,-71.05495286,(42.32922866 -71.05495286),16,02127
10308,42.32923205,-71.05400959,(42.32923205 -71.05400959),10,02127
10309,42.32924102,-71.05518887,(42.32924102 -71.05518887),6,02127
10310,42.32924234,-71.05362304,(42.32924234 -71.05362304),9,02109
10311,42.32924494,-71.08200715,(42.32924494 -71.08200715),26,02119
10312,42.32924604,-71.05347656,(42.32924604 -71.05347656),3,02109
10313,42.32924718,-71.08551493,(42.32924718 -71.08551493),4,02119
10314,42.32925359,-71.07741881,(42.32925359 -71.07741881),3,02119
10315,42.32925707,-71.05313690000001,(42.32925707 -71.05313690),3,02127
10316,42.32925905,-71.08482402,(42.32925905 -71.08482402),322,02119
10317,42.32926098,-71.07900139,(42.32926098 -71.07900139),35,02119
10318,42.329264,-71.052799,(42.32926400 -71.05279900),9,02109
10319,42.329271899999995,-71.05545793,(42.32927190 -71.05545793),6,02127
10320,42.32927942,-71.05270555,(42.32927942 -71.05270555),2,02109
10321,42.32929812,-71.08248425,(42.32929812 -71.08248425),48,02119
10322,42.32930278,-71.05572699,(42.32930278 -71.05572699),15,02127
10323,42.32930936,-71.06898572,(42.32930936 -71.06898572),41,02118
10324,42.32931598,-71.08823570000001,(42.32931598 -71.08823570),8,02119
10325,42.329318,-71.052626,(42.32931800 -71.05262600),10,02109
10326,42.3293223,-71.09889669,(42.32932230 -71.09889669),3,02120
10327,42.32933335,-71.09412018,(42.32933335 -71.09412018),2,02119
10328,42.32933595,-71.10866248,(42.32933595 -71.10866248),26,02120
10329,42.32933674,-71.0899732,(42.32933674 -71.08997320),3,02119
10330,42.32934461,-71.08291212,(42.32934461 -71.08291212),4,02119
10331,42.32935284,-71.05601628,(42.32935284 -71.05601628),23,02127
10332,42.32935681,-71.03521052,(42.32935681 -71.03521052),4,02127
10333,42.32935767,-71.07974589,(42.32935767 -71.07974589),60,02119
10334,42.32936118,-71.07137845,(42.32936118 -71.07137845),5,02119
10335,42.32936126,-71.08858102,(42.32936126 -71.08858102),1,02119
10336,42.32937437,-71.0806462,(42.32937437 -71.08064620),27,02119
10337,42.32938159,-71.06704418,(42.32938159 -71.06704418),33,02118
10338,42.32939634,-71.08879667,(42.32939634 -71.08879667),11,02119
10339,42.3294029,-71.05630557,(42.32940290 -71.05630557),1,02127
10340,42.32941124,-71.05439492,(42.32941124 -71.05439492),4,02127
10341,42.32941542,-71.05403651,(42.32941542 -71.05403651),1,02127
10342,42.32943045,-71.08784820000001,(42.32943045 -71.08784820),1,02119
10343,42.32943141,-71.08901233,(42.32943141 -71.08901233),1,02119
10344,42.32943305,-71.08333026,(42.32943305 -71.08333026),6,02119
10345,42.32943923,-71.09391426,(42.32943923 -71.09391426),1,02119
10346,42.32945095,-71.09151185,(42.32945095 -71.09151185),18,02119
10347,42.32945117,-71.05665934,(42.32945117 -71.05665934),29,02127
10348,42.32945358,-71.10271179,(42.32945358 -71.10271179),10,02120
10349,42.32946303,-71.07922822,(42.32946303 -71.07922822),5,02119
10350,42.32946443,-71.07496711,(42.32946443 -71.07496711),14,02119
10351,42.32947458,-71.10442024,(42.32947458 -71.10442024),64,02120
10352,42.329475,-71.08332052,(42.32947500 -71.08332052),5,02119
10353,42.32948547,-71.0789179,(42.32948547 -71.07891790),2,02119
10354,42.32949944,-71.05701312,(42.32949944 -71.05701312),48,02127
10355,42.32949987,-71.07741384,(42.32949987 -71.07741384),4,02119
10356,42.32950195,-71.09971911,(42.32950195 -71.09971911),47,02120
10357,42.32950632,-71.08398018,(42.32950632 -71.08398018),91,02119
10358,42.32950969,-71.0896085,(42.32950969 -71.08960850),30,02119
10359,42.32951559,-71.05700728,(42.32951559 -71.05700728),1,02127
10360,42.32952009,-71.05826063,(42.32952009 -71.05826063),6,02127
10361,42.32952036,-71.08530641,(42.32952036 -71.08530641),223,02119
10362,42.32952224,-71.05136816,(42.32952224 -71.05136816),10,02127
10363,42.329524,-71.03558397,(42.32952400 -71.03558397),17,02127
10364,42.32952684,-71.06917216,(42.32952684 -71.06917216),8,02119
10365,42.32952692,-71.03520118,(42.32952692 -71.03520118),8,02127
10366,42.3295381,-71.07163555,(42.32953810 -71.07163555),11,02119
10367,42.329551,-71.08598,(42.32955100 -71.08598000),21,
10368,42.32955246,-71.11112429,(42.32955246 -71.11112429),68,02130
10369,42.32955354,-71.09357444,(42.32955354 -71.09357444),66,02119
10370,42.32957054,-71.09881932,(42.32957054 -71.09881932),12,02120
10371,42.32957114,-71.10201297,(42.32957114 -71.10201297),1,02120
10372,42.32958796,-71.09020468,(42.32958796 -71.09020468),2,02119
10373,42.32959744,-71.03752802,(42.32959744 -71.03752802),1,02127
10374,42.32960077,-71.09734166,(42.32960077 -71.09734166),3,02120
10375,42.32960255,-71.03661269,(42.32960255 -71.03661269),5,02127
10376,42.32960870000001,-71.08462109,(42.32960870 -71.08462109),69,02119
10377,42.32961634,-71.08232206,(42.32961634 -71.08232206),13,02119
10378,42.32962107,-71.05763827,(42.32962107 -71.05763827),83,02127
10379,42.32963903,-71.10230251,(42.32963903 -71.10230251),19,02120
10380,42.32964451,-71.09747155,(42.32964451 -71.09747155),2,02120
10381,42.32965014,-71.0932248,(42.32965014 -71.09322480),4,02119
10382,42.32965485,-71.05425597,(42.32965485 -71.05425597),1,02127
10383,42.32965577,-71.07233804,(42.32965577 -71.07233804),5,02119
10384,42.3296587,-71.09878387,(42.32965870 -71.09878387),3,02120
10385,42.329659,-71.061071,(42.32965900 -71.06107100),1,02118
10386,42.32966508,-71.07945506,(42.32966508 -71.07945506),9,02119
10387,42.32967465,-71.05555264,(42.32967465 -71.05555264),36,02127
10388,42.32969471,-71.0704441,(42.32969471 -71.07044410),74,02119
