Average of viollevel,,Column Labels,,,,,
Row Labels,neighborhood,2015,2016,2017,2018,2019,Grand Total
Mooncusser Fish House & Moon Bar,BOSTON,,,1.666666667,2,,1.875
La Colombe Torrefaction,BOSTON,,,0,1,2.333333333,1.875
Hancock Street Market,DORCHESTER,1,2.8,2.076923077,1,1.333333333,1.875
PRIMO'S RESTAURANT,BOSTON,2.090909091,2,1.307692308,2,,1.867924528
METRO SUBWAY,BOSTON,1,3,2.142857143,1.666666667,,1.864864865
Moyzilla No. 2,BOSTON,,0,0,2.6,,1.857142857
Bootleg Special,ROXBURY,,,,2.333333333,1.5,1.857142857
Aladdin @ Bunker Hill Comm. College,BOSTON,,,,1.857142857,,1.857142857
WEST END STROLLERS,BOSTON,1.818181818,1.647058824,2,2.029411765,1.625,1.852713178
Monument Tavern,CHARLESTOWN,,0,1.666666667,2,2,1.851851852
Renaissance Hotel (Main Kitchen),BOSTON,0,1.8,1,2,2.333333333,1.85
Discovery Cafe,BOSTON,1,2.076923077,2.181818182,1.363636364,,1.849315068
Kung Fu Tea @ Mass. Ave.,BOSTON,1.913043478,2,2.5,1.464285714,1.388888889,1.848739496
Tender Greens,BOSTON,,,,0,2,1.846153846
POMAIRE BOSTON CHILEAN GRILL,BOSTON,0,,3,1.764705882,,1.846153846
Gre.Co,BOSTON,,,1.777777778,2,,1.846153846
Liberty Mutual Berkeley Cafeteria (2nd Fl),BOSTON,2,2,2.111111111,1.333333333,0,1.843137255
Hungry I,BOSTON,2,3,1,1.2,,1.842105263
Sabroso Taqueria,BOSTON,2.333333333,1.947368421,1,1,1,1.838709677
Soleil Restaurant,ROXBURY,,,,2,1,1.833333333
SOUTHERN BAPTIST CHURCH,ROXBURY,1,0,3,3,,1.833333333
Sweet & Nasty,BOSTON,0,,2.4,1.75,,1.833333333
RUCKUS NOODLES,BOSTON,,,0,2.2,,1.833333333
Mirabella Pool Concession,BOSTON,,1,0,2.066666667,,1.833333333
NEW GOLDEN GATE RESTAURANT,BOSTON,1,1.642857143,2.428571429,1.75,,1.833333333
Honey Dew Donuts,EAST BOSTON,,,,1.9375,1,1.833333333
Jamaica Mi Hungry,BOSTON,0,0,2.2,2,,1.833333333
Beantown Pho & Grill,BOSTON,2.133333333,1.933333333,1.730769231,1.731343284,,1.832402235
Ga Ga Seafood Restaurant,BOSTON,,1.769230769,1.551724138,2.037037037,2.166666667,1.829787234
Caffe Dello Sport,BOSTON,1.8,1.909090909,1.8,1.818181818,,1.829787234
JIMMY JOHN'S,BOSTON,0.75,2.375,1.769230769,1.886363636,0,1.829268293
Liberty Mutual Grab & Go,BOSTON,0,2,1.888888889,3,1.777777778,1.828571429
Shabu Zen Restaurant,ALLSTON,2.333333333,1,1,1.888888889,,1.827586207
Massiminos Cucina,BOSTON,0.666666667,2.2,1.846153846,2,1.5,1.826086957
Deparma,EAST BOSTON,,0,1.833333333,2,,1.826086957
ODDS & ENDS VARIETY,DORCHESTER,1,0.5,2.333333333,0,,1.823529412
